objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,arriving.jpg,,,Arriving to the Seneca Resort and Casino in Seneca NY,"Hartline, Cassie",4/5/2025,Arriving to the Seneca Resort and Casino in Seneca NY,Seneca Resort NY,Seneca NY,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,first_view.jpg,,,The view walking into Niagara Falls State Park,"Hartline, Cassie",4/6/2025,The view walking into Niagara Falls State Park,Niagara Fall ,Niagara Falls State Park,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,park.jpg,,,Entry to Niagara Falls State Park,"Hartline, Cassie",4/6/2025,Entring the Niagara Falls State Park,Niagara Falls State Park,Niagara Falls State Park,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,rainbow.jpg,,,View of the water,"Hartline, Cassie",4/6/2025,View of water entering Niagara Falls State Park,Niagara Fall ,Niagara Falls State Park,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,beautiful.jpg,,,Beautiful view from the United States side of Niagara Falls,"Hartline, Cassie",4/6/2025,View of the water from the United States side of Niagara Falls,Niagara Fall ,Niagara Falls ,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,entering_canada.jpg,,,Approaching the Canadian border,"Hartline, Cassie",4/6/2025,Walking across the bridge to cross the Canadian border,Canadian border,Niagara Falls; Canada,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,frozen.jpg,,,View of  a frozen section of Niagara Falls,"Hartline, Cassie",4/6/2025,View of  a frozen section of Niagara Falls,Niagara Fall ,Niagara Fall ,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,hard_rock_cafe.jpg,,,Canadian Hard Rock Cafe in Niagara Falls,"Hartline, Cassie",4/6/2025,Canadian Hard Rock Cafe in Niagara Falls,Hard Rock Cafe,Hard Rock Cafe; Canada,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,canadian_side.jpg,,,View of the Niagara Falls from the Canadian side,"Hartline, Cassie",4/6/2025,View of the Niagara Falls from the Canadian side,Niagara Fall ,Niagara Fall ,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,resort.jpg,,,Seneca Resort in the distance across the border,"Hartline, Cassie",4/6/2025,Seneca Resort in the distance across the border,Niagara Fall; Seneca Resort NY,Niagara Fall; Seneca Resort NY,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,crossing_line.jpg,,,Crossing the border line to reenter the United States,"Hartline, Cassie",4/6/2025,Crossing the border line to reenter the United States,United States border,United States,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,boundary.jpg,,,Passing the line to cross the border back to the United States,"Hartline, Cassie",4/6/2025,Passing the line to cross the border back to the United States,United States border,United States; Canada,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,border_back.jpg,,,Officially crossing the border,"Hartline, Cassie",4/6/2025,Officially crossing the border to reenter the United States,United States border,United States,,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
